,filter_options,id,configuration,provider_experiment_id,clients_options,product,success_variation,clients,name,experiment_event_start,archive,status,variations,provider_id,date_end,date_start
39,"{""metrics"": [""tab_official_click_cnt"", ""tab_official_open_cnt"", ""tab_open_cnt"", ""tab_view_120s_cnt"", ""tab_view_12s_cnt"", ""tab_view_180s_cnt"", ""tab_view_60s_cnt""], ""version"": ""0"", ""explosure"": ""search_success_cnt"", ""dim_is_bot"": [""ALL""], ""dim_source"": [""UGT_IOS"", ""UGT_ANDROID""], ""dim_country"": [""ALL""], ""dim_platform"": [""2"", ""3""], ""dim_utm_term"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_edu_rights"": [""ALL""], ""dim_edu_status"": [""ALL""], ""dim_pro_rights"": [""ALL""], ""dim_pro_status"": [""ALL""], ""dim_utm_medium"": [""ALL""], ""dim_utm_source"": [""ALL""], ""dim_sing_rights"": [""ALL""], ""dim_sing_status"": [""ALL""], ""dim_source_type"": [""ALL""], ""dim_utm_content"": [""ALL""], ""dim_utm_campaign"": [""ALL""], ""dim_source_screen"": [""ALL""], ""dim_bm_action_name"": [""ALL""], ""dim_bm_campaign_id"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_bm_campaign_name"": [""ALL""], ""dim_user_autorization"": [""ALL""], ""dim_experiment_provider"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2""]}",4962,https://alice.mu.se/pages/viewpage.action?pageId=459878229,,"{""UGT_IOS"": [[""version"", ""7.0.49""]], ""UGT_ANDROID"": [[""version"", ""7.0.62""]]}",UG,0,"[""UGT_ANDROID"", ""UGT_IOS""]",[UG Продукт] Apps: Transfer versions screen to the new Design system,Search Success,0,1,2,0,0,1722589755
40,"{""metrics"": [], ""version"": ""0"", ""explosure"": """", ""dim_is_bot"": [""ALL""], ""dim_source"": [""UGT_IOS"", ""UGT_ANDROID""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""dim_utm_term"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_edu_rights"": [""ALL""], ""dim_edu_status"": [""ALL""], ""dim_pro_rights"": [""ALL""], ""dim_pro_status"": [""ALL""], ""dim_utm_medium"": [""ALL""], ""dim_utm_source"": [""ALL""], ""dim_sing_rights"": [""ALL""], ""dim_sing_status"": [""ALL""], ""dim_source_type"": [""ALL""], ""dim_utm_content"": [""ALL""], ""dim_utm_campaign"": [""ALL""], ""dim_source_screen"": [""ALL""], ""dim_bm_action_name"": [""ALL""], ""dim_bm_campaign_id"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_bm_campaign_name"": [""ALL""], ""dim_user_autorization"": [""ALL""], ""dim_experiment_provider"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2""]}",4683,,,,UG,0,"[""UGT_ANDROID"", ""UGT_IOS""]","[UG Продукт] UG App: Collins Brand Rollout: Colors, Typography, Border-radius (2 iter, WW)",App Start,0,1,2,0,0,1718204623
41,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",5017,,,,MU,0,"[""MS_ANDROID""]",PRODUCT. App. Score Favorite button Android 2,,0,1,3,0,0,1722448546
42,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",5071,,,,MU,0,"[""MS_IOS""]",MONEY. APP. iOS. Back to school,,0,1,2,0,0,1723029098
43,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",5056,,,,MU,0,"[""MS_WEB""]",Money. Web. Desktop. Long landing quiz - multiple question about instruments,,0,1,2,0,0,1722848954
44,,4684,,661e3370d5a5098b9c031b87,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/661e3370d5a5098b9c031b87],,0,1,2,1,0,1713284208
45,,4594,,66014921e2ab781a01097165,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/66014921e2ab781a01097165],,0,1,2,1,0,1711386900
46,"{""metrics"": [], ""version"": ""0"", ""explosure"": """", ""dim_is_bot"": [""ALL""], ""dim_source"": [""UG_BLOOMREACH"", ""UGT_IOS"", ""UGT_ANDROID"", ""UG_WEB"", ""UGT_HUAWEI"", ""UG_IOS"", ""UG_ANDROID""], ""dim_country"": [""ALL""], ""dim_platform"": [""0"", ""1"", ""2"", ""3"", ""4""], ""dim_utm_term"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_edu_rights"": [""ALL""], ""dim_edu_status"": [""ALL""], ""dim_pro_rights"": [""ALL""], ""dim_pro_status"": [""ALL""], ""dim_utm_medium"": [""ALL""], ""dim_utm_source"": [""ALL""], ""dim_sing_rights"": [""ALL""], ""dim_sing_status"": [""ALL""], ""dim_source_type"": [""ALL""], ""dim_utm_content"": [""ALL""], ""dim_utm_campaign"": [""ALL""], ""dim_source_screen"": [""ALL""], ""dim_bm_action_name"": [""ALL""], ""dim_bm_campaign_id"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_bm_campaign_name"": [""ALL""], ""dim_user_autorization"": [""ALL""], ""dim_experiment_provider"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",4959,project: https://alice.mu.se/pages/viewpage.action?pageId=494829160,,"{""UG_WEB"": [[""platform"", [1]]]}",UG,0,"[""UG_WEB""]",[UG Monetization] UG WEB: landing — onboarding after access,PURCHASE_SUCCESS,0,1,2,0,0,1722358183
47,,4522,,65e87850ed914258eb79cff8,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/65e87850ed914258eb79cff8],,0,1,2,1,0,1709745339
48,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",4873,,,,MU,0,"[""MS_WEB""]",PRODUCT. WEB. New download modal (Second iteration),,0,1,3,0,0,1719919462
